mean,std,max,min
12.494850624010873,3.8590805975466775,23.666666666666668,1.0
16.52058233581118,3.48125085174615,26.148266226583075,6.786898128584851
20.982063532429677,3.434477622189143,31.804581201629794,10.880257017041313
24.585468917297863,3.761401071734065,36.23929514128166,13.380277815822838
27.02852214836393,4.0385473796689375,38.666666666666664,15.0
23.1056852291913,3.515690577583323,32.56767935470728,12.922902822044533
18.930622405239934,3.375902002085465,28.137849969744735,10.0323873440935
15.283672833373167,3.633414261164327,25.59293014682303,5.08581232115411
18.93319964548993,2.2744419333812878,26.855874171117417,13.654448046053698
16.750478064902413,2.6857961332061646,25.94498243620357,8.955468106372651
16.249112680228926,3.3718239902879743,26.38061784789161,6.055394711439093
19.162935249245677,2.7151270395408633,27.786126740717833,10.941209237560836
23.15643020073352,2.4823305003043625,31.009540214257157,16.50772493990811
24.57070564408247,2.947890896394058,33.902925372947564,17.31232138266313
24.497930272917884,3.417365176871082,36.402579638513835,16.225396838475394
22.29423965450165,2.825355350010092,32.8233696736356,14.659688047214406
